530206-0330;;Salka ehf;590697-2069;;;530303-2410;;
530303-2410;;Salka ehf.;590697-2069;;;530315-0370;;
530315-0370;;Samhentir-Kassagerð ehf;671211-1030;;;530354-0169;;
530354-0169;;Silva tré og stál eh;;;;530389-1899;;
530389-1899;;SJF Innport ehf;550595-2579;;;530395-2359;;
530395-2359;;Snakkfiskur hf;560701-2090;;;530810-0380;;
530810-0380;;Snerill ehf;560701-2090;;;530899-2099;;
530899-2099;;Sól hf.;610793-2159;;;531107-0470;;
531107-0470;;Sól-Víking hf;601201-3130;;;531189-1679;;
531189-1679;;Sól-Víking hf.;420369-7789;;;531206-1260;;
531206-1260;;Sólbrekka ehf;610601-3080;;;531212-0530;;
531212-0530;;Spánskt fyrir sjónir;451295-2929;;;540110-0930;;
540110-0930;;Spánskt fyrir sjónir sf;451295-2929;;;540296-2279;;
540296-2279;;Sproti ehf.;410785-0809;;;540317-1860;;
540317-1860;;Sproti hf.;410785-0809;;;540405-0340;;
540405-0340;;SS Stál ehf.;500316-0470;;;540415-0480;;
540415-0480;;Th Arason heildverslun sf;600295-2259;;;540570-0199;;
540570-0199;;Tóti ehf.;660509-0970;;;541004-2890;;
541004-2890;;Vatnajökull hf;441295-2519;;;541015-3530;;
541015-3530;;Veigar ehf;601083-0789;;;541015-4340;;
541015-4340;;Veitingahúsið Austurvöllur ehf;551096-2389;;;541205-1520;;
541205-1520;;Vífilfell hf;580483-0709;;;550212-0130;;
550212-0130;;Vífilfell hf.;470169-1419;;;550366-0109;;
550366-0109;;Vilgro ehf;591006-0880;;;550389-2669;;
550389-2669;;Villiger Söhne / GJ heildv.;460999-2519;;;550394-2359;;
550394-2359;;Vín og matur ehf;570203-3980;;;550405-0400;;
550405-0400;;Vín tríó ehf;700103-3660;;;550488-1169;;
550488-1169;;Vínekran Bourgogne ehf;470205-0400;;;550595-2579;;
550595-2579;;Víney ehf;680905-0450;;;550609-1420;;
550609-1420;;Vínheimar (Habe ehf.;700103-3660;;;550667-0299;;
550667-0299;;Vínheimar ehf;420895-2599;;;550775-0429;;
550775-0429;;Vínheimar ehf.;420895-2599;;;550796-2289;;
550796-2289;;Vínhúsið ehf.;470105-2240;;;550903-3340;;
550903-3340;;Vínhúsið-Global Trading ehf;670955-0289;;;5509100980;;
5509100980;;Vínkaup ehf;511105-1290;;;551096-2389;;
551096-2389;;Vínland;491007-1680;;;551111-0590;;
551111-0590;;Vínland ehf;511105-1290;;;560109-0670;;
560109-0670;;Vínland ehf.;550394-2359;;;560113-0480;;
560113-0480;;Vínó ehf;420178-0349;;;560196-2299;;
560196-2299;;Vínval ehf;500103-3020;;;560207-1580;;
560207-1580;;Vínval ehf.;600896-2539;;;560402-3250;;
560402-3250;;Vínval ehf.,;600896-2539;;;560701-2090;;
560701-2090;;Virgo ehf;660503-2930;;;560771-0109;;
560771-0109;;XCO ehf;681271-1129;;;560793-2199;;
560793-2199;;XCO ehf.;511105-1290;;;561092-2069;;
561092-2069;;Yggdrasill ehf.;440286-1279;;;561096-2369;;
561096-2369;;Ýmsar vörur ehf.;711284-0799;;;570169-0339;;
570169-0339;;Ýmsar-vörur ehf;620300-2170;;;570203-3980;;
570203-3980;;Þorbjörn Magnússon;00070621;;;570485-0329;;
570485-0329;;Þórshamar ehf;420369-0269;;;570518-2080;;
570518-2080;;;;;;570591-1509;;
570591-1509;;;;;;571003-2950;;
571003-2950;;;;;;571201-4450;;
571201-4450;;;;;;571214-0240;;
571214-0240;;;;;;571214-0320;;
571214-0320;;;;;;580199-2919;;
580199-2919;;;;;;580199-3059;;
580199-3059;;;;;;580311-0910;;
580311-0910;;;;;;580315-0970;;
580315-0970;;;;;;580394-2059;;
580394-2059;;;;;;580483-0709;;
580483-0709;;;;;;581102-3050;;
581102-3050;;;;;;590116-1570;;
590116-1570;;;;;;590269-1749;;
590269-1749;;;;;;590304-3280;;
590304-3280;;;;;;590398-2259;;
590398-2259;;;;;;590515-3290;;
590515-3290;;;;;;590593-4949;;
590593-4949;;;;;;590697-2069;;
590697-2069;;;;;;590902-3140;;
590902-3140;;;;;;590914-1180;;
590914-1180;;;;;;591006-0880;;
591006-0880;;;;;;591007-1650;;
591007-1650;;;;;;591294-2109;;
591294-2109;;;;;;591294-2459;;
591294-2459;;;;;;600112-1390;;
600112-1390;;;;;;600202-2780;;
600202-2780;;;;;;600209-0270;;
600209-0270;;;;;;600292-2269;;
600292-2269;;;;;;600295-2259;;
600295-2259;;;;;;600301-3650;;
600301-3650;;;;;;600389-1229;;
600389-1229;;;;;;600412-0940;;
600412-0940;;;;;;600896-2539;;
600896-2539;;;;;;601005-1150;;
601005-1150;;;;;;601083-0789;;
601083-0789;;;;;;601099-2929;;
601099-2929;;;;;;601103-2490;;
601103-2490;;;;;;601201-3050;;
601201-3050;;;;;;601201-3130;;
601201-3130;;;;;;601212-1450;;
601212-1450;;;;;;601289-1489;;
601289-1489;;;;;;610109-1950;;
610109-1950;;;;;;610384-0219;;
610384-0219;;;;;;610510-2050;;
610510-2050;;;;;;610601-3080;;
610601-3080;;;;;;610793-2159;;
610793-2159;;;;;;6109100840;;
6109100840;;;;;;611299-2819;;
611299-2819;;;;;;620104-2560;;
620104-2560;;;;;;620280-0119;;
620280-0119;;;;;;620300-2170;;
620300-2170;;;;;;620500-3050;;
620500-3050;;;;;;620509-0190;;
620509-0190;;;;;;620601-2170;;
620601-2170;;;;;;620618-0200;;
620618-0200;;;;;;620786-1959;;
620786-1959;;;;;;620988-1039;;
620988-1039;;;;;;620999-2379;;
620999-2379;;;;;;621107-0380;;
621107-0380;;;;;;630245-0289;;
630245-0289;;;;;;630317-2070;;
630317-2070;;;;;;630807-0770;;
630807-0770;;;;;;630911-1680;;
630911-1680;;;;;;631091-1219;;
631091-1219;;;;;;631109-2410;;
631109-2410;;;;;;631282-0409;;
631282-0409;;;;;;631291-1209;;
631291-1209;;;;;;640102-4110;;
640102-4110;;;;;;640194-2439;;
640194-2439;;;;;;640485-0949;;
640485-0949;;;;;;640490-1369;;
640490-1369;;;;;;641105-1710;;
641105-1710;;;;;;641114-1030;;
641114-1030;;;;;;650105-1680;;
650105-1680;;;;;;650299-2809;;
650299-2809;;;;;;650302-2650;;
650302-2650;;;;;;650309-2000;;
650309-2000;;;;;;650387-1399;;
650387-1399;;;;;;650914-0150;;
650914-0150;;;;;;651091-1799;;
651091-1799;;;;;;660101-3140;;
660101-3140;;;;;;660169-1729;;
660169-1729;;;;;;660503-2930;;
660503-2930;;;;;;660505-0240;;
660505-0240;;;;;;660509-0970;;
660509-0970;;;;;;660606-3860;;
660606-3860;;;;;;660608-2060;;
660608-2060;;;;;;660707-1740;;
660707-1740;;;;;;660810-0800;;
660810-0800;;;;;;660906-0100;;
660906-0100;;;;;;670169-5459;;
670169-5459;;;;;;670169-6189;;
670169-6189;;;;;;670317-0720;;
670317-0720;;;;;;670502-2010;;
670502-2010;;;;;;670603-3770;;
670603-3770;;;;;;670616-1690;;
670616-1690;;;;;;670874-0529;;
670874-0529;;;;;;670905-2760;;
670905-2760;;;;;;670955-0289;;
670955-0289;;;;;;670990-1259;;
670990-1259;;;;;;671016-0760;;
671016-0760;;;;;;671211-1030;;
671211-1030;;;;;;680103-2240;;
680103-2240;;;;;;680169-3069;;
680169-3069;;;;;;680307-2020;;
680307-2020;;;;;;680372-0129;;
680372-0129;;;;;;680410-0970;;
680410-0970;;;;;;680497-2309;;
680497-2309;;;;;;680602-5650;;
680602-5650;;;;;;680604-4010;;
680604-4010;;;;;;680799-2619;;
680799-2619;;;;;;680905-0450;;
680905-0450;;;;;;680987-1659;;
680987-1659;;;;;;681201-2540;;
681201-2540;;;;;;681215-1740;;
681215-1740;;;;;;681271-1129;;
681271-1129;;;;;;690402-2620;;
690402-2620;;;;;;690416-1580;;
690416-1580;;;;;;690496-2169;;
690496-2169;;;;;;690607-0260;;
690607-0260;;;;;;690618-0870;;
690618-0870;;;;;;690896-2659;;
690896-2659;;;;;;691199-3559;;
691199-3559;;;;;;691208-1840;;
691208-1840;;;;;;691299-2369;;
691299-2369;;;;;;700103-3660;;
700103-3660;;;;;;700112-0120;;
700112-0120;;;;;;700118-0100;;
700118-0100;;;;;;700300-2180;;
700300-2180;;;;;;700415-0150;;
700415-0150;;;;;;700498-2719;;
700498-2719;;;;;;700502-3920;;
