No_;Description;Unit Price;Söluflokkur;Item Category Code;ABC-Item;Áfengisgjald (tegund);Base Unit of Measure;Millilítrar;Heiti umboðsmanns;Vendor No_
14034;Nordcap Fishermint Shot;4599;REYNSLA;23;0;3;FL.;700;;550595-2579
14035;Yellow Tail Pinot Grigio;1749;REYNSLA;02;0;2;FL.;750;;530303-2410
14037;Bacardi 8 ára ;7899;SÉRFLOKKUR;14;3;3;FL.;700;;550595-2579
14039;Bricco al Sole Primitivo;1844;REYNSLA;01;0;2;FL.;750;;530303-2410
14040;Bricco al Sole Nero d'Avola;1998;REYNSLA;01;0;2;FL.;750;;530303-2410
14041;Bricco al Sole Inzolia;1897;REYNSLA;02;0;2;FL.;750;;530303-2410
14043;Hardcore Premium Cider;489;SÉRFLOKKUR;06;3;2;FL.;355;;601083-0789
14045;Duchesse de Bourgogne;569;SÉRFLOKKUR;61;3;1;FL.;330;;601083-0789
14046;Santana Tempranillo;5699;REYNSLA;01;0;2;BOX;3000;;420178-0349
14047;Anchor Liberty Ale;699;SÉRFLOKKUR;61;3;1;FL.;355;;601083-0789
14048;Coopers Best Extra Stout;549;SÉRFLOKKUR;61;3;1;FL.;355;;601083-0789
14049;Little James' Basket Press rautt;2190;SÉRPÖNTUN;01;3;2;FL.;750;;570203-3980
14050;Little James' Basket Press hvítt;2690;SÉRPÖNTUN;02;3;2;FL.;750;;570203-3980
14051;Terra Antiga Vinho Verde;1890;SÉRFLOKKUR;02;3;2;FL.;750;;570203-3980
14052;Security - Feel Better 2x30ml;0;SÉRFLOKKUR;29;3;4;PK.;60;;601083-0789
14054;Finca Las Moras Black Label Malbec;2699;KJARNI;01;1;2;FL.;750;;470169-1419
14055;Finca Las Moras Mora Negra;3999;REYNSLA;01;0;2;FL.;750;;470169-1419
14058;Chateau Saint-Germain Bordeaux hvítt;2490;SÉRFLOKKUR;02;3;2;FL.;750;;470105-2240
14066;Barone Ricasoli Campo Ceni;2390;SÉRPÖNTUN;01;3;2;FL.;750;;501117-0210
14072;Torres Celeste Crianza;2999;KJARNI;01;2;2;FL.;750;;501117-0210
14077;Punto Final Malbec;2299;REYNSLA;01;0;2;FL.;750;;601289-1489
14078;Punto Final Reserva Malbec;3190;SÉRFLOKKUR;01;3;2;FL.;750;;601289-1489
14079;Masi Modello rautt;6499;KJARNI;01;3;2;BOX;3000;;420369-7789
14080;Thomas Barton Reserve Medoc;3699;SÉRFLOKKUR;01;3;2;FL.;750;;501117-0210
14081;Thomas Barton Reserve Saint-Emilion;3595;REYNSLA;01;0;2;FL.;750;;601289-1489
14082;Vistamar Brisa Merlot;1599;REYNSLA;01;0;2;FL.;750;;470169-1419
14083;Vistamar Brisa Cabernet Sauvignon;1599;KJARNI;01;0;2;FL.;750;;470169-1419
